,total_airflow,t1_valve_pct,t1_n2o,t1_nh4,t1_no3,t1_do,t1_do_sp,t1_airflow,t1_ss,t1_temp,t1_po4,inflow,t1_phase,phasecode,inlet_tank,outlet_tank,storm_mode,total_airflow_q,t1_valve_pct_q,t1_n2o_q,t1_nh4_q,t1_no3_q,t1_do_q,t1_do_sp_q,t1_phase_q,t1_airflow_q,t1_ss_q,t1_temp_q,phasecode_q,inlet_tank_q,outlet_tank_q,t1_po4_q,inflow_q,storm_mode_q,segment_id
2023-07-26 21:30:00+00:00,14974.18359375,81.18000030517578,0.1168981466442345,2.8019431614317,4.848620533943176,1.680844920128584,1.0199771666666668,4016.879436446247,2.4647263526916503,18.841507720947263,0.7219269633293152,2386.458349609375,2.0,2221.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-07-26 21:40:00+00:00,11636.51640625,30.89999961853028,0.1353009257465599,2.6736611389555036,5.288629746437072,1.5468750528991222,1.00509625,1956.5690428862313,2.464373064041138,18.841688537597655,0.6314297795295716,939.93056640625,2.0,2222.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-07-26 21:50:00+00:00,9683.783203125,36.75999984741211,0.1659722227603196,2.203287174645811,5.702471852302551,0.4614438705146312,0.0,1003.128883278014,2.5313981056213377,18.83825225830078,0.5504173517227173,500.0,2.0,1112.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-07-26 22:00:00+00:00,16153.8333984375,0.0,0.2217592585831879,2.2304531120695175,5.750497555732727,0.2405237309634685,,0.0,2.515431022644043,18.83644371032715,0.4876969337463379,2409.722216796875,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 22:10:00+00:00,16232.4666015625,0.0,0.22048610933125,2.2810671352781355,5.396589875221252,0.2068142347037792,,0.0,2.4651676177978517,18.822157287597655,0.4457136273384093,2399.30556640625,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 22:20:00+00:00,17241.6,0.0,0.2184027809649705,2.89275913471356,4.933723187446594,0.205367475003004,0.0,0.0,2.4569878578186035,18.815646743774415,0.4454255938529968,2394.444482421875,1.0,1212.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2023-07-26 22:30:00+00:00,16687.03359375,0.0,0.1693287063390015,3.2163971924223005,4.419820523262024,0.2035590164363384,,0.0,2.4867060661315916,18.801902008056636,0.6173817098140717,2403.472216796875,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 22:40:00+00:00,16352.550390625,0.0,0.1082175940275191,3.785337212029845,3.700383734703064,0.2035590164363384,,0.0,2.4396548748016356,18.79340171813965,0.8155188083648681,1414.236083984375,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 22:50:00+00:00,14303.5498046875,0.0,0.0358796302229164,4.251671173516661,3.2802659273147583,0.2035590164363384,,0.0,2.4507576465606684,18.78436088562012,1.0361953258514405,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 23:00:00+00:00,6797.2333984375,0.0,0.0328703712671994,4.463757231179625,2.840351605415344,0.2036313526332377,,0.0,2.3148921966552733,18.782913970947263,1.2193375825881958,2441.666650390625,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 23:10:00+00:00,9382.85009765625,0.0,0.0324074085801839,4.6872012161649765,2.452275013923645,0.2036313526332377,,0.0,2.1915409564971924,18.770616149902345,1.3939503669738769,2421.875,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 23:20:00+00:00,10598.58359375,0.0,0.032175926864147,5.2976791405119,2.0133692741394045,0.2035590164363384,,0.0,2.2679711818695067,18.759764862060543,1.3915369987487791,2405.208349609375,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 23:30:00+00:00,6263.00009765625,0.0,0.0319444451481103,5.7329351448453965,1.5803261280059813,0.2036313526332377,,0.0,2.286686658859253,18.749638366699223,1.6555609703063965,2388.888916015625,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 23:40:00+00:00,6849.48330078125,0.0,0.0303240749519317,6.1613151573576035,1.1883416771888733,0.2034866802394389,,0.0,2.2636417388916015,18.740415191650392,1.923856210708618,2395.486083984375,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-26 23:50:00+00:00,6461.01669921875,0.0,0.0122685195878147,6.759997084084898,0.6886791527271271,0.2034866802394389,,0.0,2.3121985912323,18.730107879638673,2.1449903488159174,1890.277783203125,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-27 00:00:00+00:00,5553.4486328125,0.0,0.0121527789160609,7.230363085214049,0.4529965549707412,0.2036313526332377,,0.0,2.3182319164276124,18.717990493774415,2.398058843612671,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-27 00:10:00+00:00,4235.575,0.0,0.0121527789160609,7.596389009896666,0.4767916321754455,0.2035590164363384,,0.0,2.365546178817749,18.71274604797363,2.8829798698425293,479.861083984375,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-27 00:20:00+00:00,5304.39296875,18.25999984741211,0.0121527789160609,7.684045221749693,0.4758987337350845,0.2041377238929271,,712.0242851081892,2.4175487995147704,18.702256774902345,3.6469871520996096,2402.083349609375,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-27 00:30:00+00:00,8652.2833984375,79.19999694824219,0.0136574083939194,7.917597200814635,0.4970868736505508,0.4232494167983532,,3251.7952824441677,2.406175470352173,18.691949081420898,3.895364332199097,2417.013916015625,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
2023-07-27 00:40:00+00:00,9454.0998046875,96.67999877929688,0.0168981488794088,7.850503160897643,0.469744449853897,1.2497106246650218,,4521.088766486115,2.389427375793457,18.696831512451173,4.264771938323975,2430.208349609375,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,3
